Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
14800	17.4	431	28.3	17.5
14800	17.5	431	28.3	17.5
14800	17.5	431	28.3	17.5
14800	17.5	431	28.3	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.4	17.5
14800	17.5	431	28.5	17.5
14800	17.5	431	28.5	17.5
14800	17.5	431	28.5	17.5
14800	17.5	431	28.5	17.5
14800	17.5	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.5	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	430	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.6
14800	17.6	431	28.6	17.7
14800	17.7	431	28.7	17.7
14800	17.7	431	28.7	17.7
14800	17.7	431	28.7	17.7
14800	17.7	430	28.7	17.7
14800	17.7	431	28.7	17.7
14800	17.7	431	28.7	17.7
14800	17.7	430	28.7	17.7
14800	17.7	431	28.7	17.7
14800	17.7	431	28.7	17.7
14800	17.7	430	28.7	17.7
14800	17.7	430	28.7	17.7
14800	17.7	431	28.7	17.7
14800	17.7	430	28.7	17.7
14800	17.7	430	28.7	17.7
14800	17.7	430	28.8	17.7
14800	17.7	430	28.8	17.7
14800	17.7	430	28.8	17.7
14800	17.7	430	28.8	17.7
14800	17.7	430	28.8	17.7
14800	17.7	430	28.8	17.7
14800	17.7	430	28.8	17.7
14800	17.7	430	28.8	17.7
14800	17.7	430	28.8	17.8
14800	17.8	430	28.8	17.8
14800	17.8	430	28.8	17.8
14800	17.8	430	28.8	17.8
14800	17.8	430	28.8	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	28.9	17.8
14800	17.8	430	29.0	17.8
14800	17.8	430	29.0	17.8
14800	17.8	430	29.0	17.8
14800	17.8	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.0	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	17.9
14800	17.9	430	29.1	18.0
14800	18.0	430	29.1	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.2	18.0
14800	18.0	430	29.3	18.0
14800	18.0	430	29.3	18.0
14800	18.0	430	29.3	18.0
14800	18.0	430	29.3	18.0
14800	18.0	430	29.3	18.0
14800	18.0	430	29.3	18.0
14800	18.0	430	29.3	18.1
14800	18.1	430	29.3	18.1
14800	18.1	430	29.3	18.1
14800	18.1	430	29.3	18.1
14800	18.1	430	29.3	18.1
14800	18.1	430	29.3	18.1
14800	18.1	430	29.3	18.1
14800	18.1	430	29.3	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.4	18.1
14800	18.1	430	29.5	18.1
14800	18.1	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.5	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.2
14800	18.2	430	29.6	18.3
14700	18.3	430	29.6	18.3
14700	18.3	430	29.6	18.3
14800	18.3	430	29.6	18.3
14700	18.3	430	29.7	18.3
14800	18.3	430	29.7	18.3
14800	18.3	430	29.7	18.3
14800	18.3	430	29.7	18.3
14800	18.3	430	29.7	18.3
14800	18.3	430	29.7	18.3
14800	18.3	430	29.7	18.3
14700	18.3	430	29.7	18.3
14700	18.3	430	29.7	18.3
14800	18.3	430	29.7	18.3
14700	18.3	429	29.7	18.3
14700	18.3	429	29.7	18.3
14700	18.3	430	29.7	18.3
14700	18.3	429	29.7	18.3
14700	18.3	429	29.8	18.3
14700	18.3	429	29.8	18.3
14700	18.3	429	29.8	18.3
14700	18.3	429	29.8	18.3
14700	18.3	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.8	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.4
14700	18.4	429	29.9	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.0	18.5
14700	18.5	429	30.1	18.5
14700	18.5	429	30.1	18.5
14700	18.5	429	30.1	18.5
14700	18.5	429	30.1	18.5
14700	18.5	429	30.1	18.5
14700	18.5	429	30.1	18.5
14700	18.5	429	30.1	18.5
14700	18.5	429	30.1	18.6
14700	18.6	429	30.1	18.6
14700	18.6	429	30.1	18.6
14700	18.6	429	30.1	18.6
14700	18.6	429	30.1	18.6
14700	18.6	429	30.1	18.6
14700	18.6	429	30.1	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.2	18.6
14700	18.6	429	30.3	18.6
14700	18.6	429	30.3	18.6
14700	18.6	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.3	18.7
14700	18.7	429	30.4	18.7
14700	18.7	429	30.4	18.7
14700	18.7	429	30.4	18.7
14700	18.7	429	30.4	18.7
14700	18.7	428	30.4	18.7
14700	18.7	429	30.4	18.7
14700	18.7	429	30.4	18.7
14700	18.7	428	30.4	18.7
14700	18.7	428	30.4	18.7
14700	18.7	428	30.4	18.7
14700	18.7	428	30.4	18.7
14700	18.7	428	30.4	18.7
14700	18.7	428	30.4	18.8
14700	18.8	428	30.4	18.8
14700	18.8	428	30.4	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.5	18.8
14700	18.8	428	30.6	18.8
14700	18.8	428	30.6	18.8
14700	18.8	428	30.6	18.8
14700	18.8	428	30.6	18.8
14700	18.8	428	30.6	18.8
14700	18.8	428	30.6	18.8
14700	18.8	428	30.6	18.9
14700	18.9	428	30.6	18.9
14700	18.9	428	30.6	18.9
14700	18.9	428	30.6	18.9
14700	18.9	428	30.6	18.9
14700	18.9	428	30.6	18.9
14700	18.9	428	30.6	18.9
14700	18.9	428	30.6	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.7	18.9
14700	18.9	428	30.8	18.9
14700	18.9	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.8	19.0
14700	19.0	428	30.9	19.0
14700	19.0	428	30.9	19.0
14700	19.0	428	30.9	19.0
14700	19.0	428	30.9	19.0
14700	19.0	428	30.9	19.0
14700	19.0	427	30.9	19.0
14700	19.0	427	30.9	19.0
14700	19.0	427	30.9	19.0
14700	19.0	427	30.9	19.0
14700	19.0	427	30.9	19.0
14700	19.0	427	30.9	19.1
14700	19.1	427	30.9	19.1
14700	19.1	427	30.9	19.1
14700	19.1	427	30.9	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.0	19.1
14700	19.1	427	31.1	19.1
14700	19.1	427	31.1	19.1
14700	19.1	427	31.1	19.1
14700	19.1	427	31.1	19.1
14700	19.1	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.1	19.2
14700	19.2	427	31.2	19.2
14700	19.2	427	31.2	19.2
14700	19.2	427	31.2	19.2
14700	19.2	427	31.2	19.2
14700	19.2	427	31.2	19.2
14700	19.2	427	31.2	19.2
14700	19.2	427	31.2	19.2
14700	19.2	427	31.2	19.2
14600	19.2	427	31.2	19.2
14600	19.2	427	31.2	19.2
14600	19.2	427	31.2	19.2
14600	19.2	427	31.2	19.2
14600	19.2	426	31.2	19.2
14600	19.2	427	31.2	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.3	19.3
14600	19.3	426	31.4	19.3
14600	19.3	426	31.4	19.3
14600	19.3	426	31.4	19.3
14600	19.3	426	31.4	19.3
14600	19.3	426	31.4	19.3
14600	19.3	426	31.4	19.3
14600	19.3	426	31.4	19.3
14600	19.3	426	31.4	19.4
14600	19.4	426	31.4	19.4
14600	19.4	426	31.4	19.4
14600	19.4	426	31.4	19.4
14600	19.4	426	31.4	19.4
14600	19.4	426	31.4	19.4
14600	19.4	426	31.4	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	426	31.5	19.4
14600	19.4	425	31.5	19.4
14600	19.4	425	31.5	19.4
14600	19.4	425	31.6	19.4
14600	19.4	425	31.6	19.4
14600	19.4	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.6	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.5
14600	19.5	425	31.7	19.6
14600	19.6	425	31.7	19.6
14600	19.6	425	31.7	19.6
14600	19.6	425	31.8	19.6
14600	19.6	425	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.8	19.6
14600	19.6	424	31.9	19.6
14600	19.6	424	31.9	19.6
14600	19.6	424	31.9	19.6
14600	19.6	424	31.9	19.6
14600	19.6	424	31.9	19.6
14600	19.6	424	31.9	19.7
14600	19.7	424	31.9	19.7
14600	19.7	424	31.9	19.7
14600	19.7	424	31.9	19.7
14600	19.7	424	31.9	19.7
14600	19.7	424	31.9	19.7
14500	19.7	424	31.9	19.7
14500	19.7	424	31.9	19.7
14500	19.7	424	32.0	19.7
14500	19.7	424	32.0	19.7
14500	19.7	424	32.0	19.7
14500	19.7	424	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.0	19.7
14500	19.7	423	32.1	19.7
14500	19.7	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	423	32.1	19.8
14500	19.8	422	32.1	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.8
14500	19.8	422	32.2	19.9
14500	19.9	422	32.2	19.9
14500	19.9	422	32.2	19.9
14500	19.9	422	32.2	19.9
14500	19.9	422	32.3	19.9
14500	19.9	422	32.3	19.9
14500	19.9	422	32.3	19.9
14500	19.9	422	32.3	19.9
14500	19.9	422	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.3	19.9
14500	19.9	421	32.4	19.9
14500	19.9	421	32.4	19.9
14500	19.9	421	32.4	19.9
14500	19.9	421	32.4	19.9
14400	19.9	421	32.4	20.0
14500	20.0	421	32.4	20.0
14400	20.0	421	32.4	20.0
14400	20.0	421	32.4	20.0
14400	20.0	421	32.4	20.0
14400	20.0	421	32.4	20.0
14400	20.0	420	32.4	20.0
14400	20.0	420	32.4	20.0
14400	20.0	420	32.4	20.0
14400	20.0	420	32.4	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	420	32.5	20.0
14400	20.0	419	32.5	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	419	32.6	20.1
14400	20.1	418	32.7	20.1
14400	20.1	418	32.7	20.1
14400	20.1	418	32.7	20.1
14400	20.1	418	32.7	20.1
14400	20.1	418	32.7	20.1
14400	20.1	418	32.7	20.1
14400	20.1	418	32.7	20.1
14400	20.1	418	32.7	20.2
14400	20.2	418	32.7	20.2
14400	20.2	418	32.7	20.2
14300	20.2	418	32.7	20.2
14300	20.2	418	32.7	20.2
14300	20.2	418	32.7	20.2
14300	20.2	418	32.7	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	417	32.8	20.2
14300	20.2	416	32.9	20.2
14300	20.2	416	32.9	20.2
14300	20.2	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	416	32.9	20.3
14300	20.3	415	33.0	20.3
14300	20.3	415	33.0	20.3
14300	20.3	415	33.0	20.3
14300	20.3	415	33.0	20.3
14300	20.3	415	33.0	20.3
14200	20.3	415	33.0	20.3
14200	20.3	415	33.0	20.3
14200	20.3	415	33.0	20.3
14200	20.3	415	33.0	20.3
14200	20.3	415	33.0	20.3
14200	20.3	415	33.0	20.3
14200	20.3	414	33.0	20.4
14200	20.4	414	33.0	20.4
14200	20.4	414	33.0	20.4
14200	20.4	414	33.1	20.4
14200	20.4	414	33.1	20.4
14200	20.4	414	33.1	20.4
14200	20.4	414	33.1	20.4
14200	20.4	414	33.1	20.4
14200	20.4	414	33.1	20.4
14200	20.4	414	33.1	20.4
14200	20.4	414	33.1	20.4
14200	20.4	414	33.1	20.4
14200	20.4	413	33.1	20.4
14200	20.4	413	33.1	20.4
14200	20.4	413	33.1	20.4
14200	20.4	413	33.1	20.4
14200	20.4	413	33.1	20.4
14200	20.4	413	33.2	20.4
14200	20.4	413	33.2	20.4
14200	20.4	413	33.2	20.4
14200	20.4	413	33.2	20.4
14200	20.4	413	33.2	20.4
14200	20.4	412	33.2	20.5
14200	20.5	412	33.2	20.5
14200	20.5	412	33.2	20.5
14200	20.5	412	33.2	20.5
14200	20.5	412	33.2	20.5
14100	20.5	412	33.2	20.5
14100	20.5	412	33.2	20.5
14100	20.5	412	33.2	20.5
14100	20.5	412	33.2	20.5
14100	20.5	412	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	411	33.3	20.5
14100	20.5	410	33.3	20.5
14100	20.5	410	33.3	20.5
14100	20.5	410	33.4	20.5
14100	20.5	410	33.4	20.6
14100	20.6	410	33.4	20.6
14100	20.6	410	33.4	20.6
14100	20.6	410	33.4	20.6
14100	20.6	410	33.4	20.6
14100	20.6	410	33.4	20.6
14100	20.6	410	33.4	20.6
14100	20.6	409	33.4	20.6
14100	20.6	409	33.4	20.6
14100	20.6	409	33.4	20.6
14000	20.6	409	33.4	20.6
14000	20.6	409	33.4	20.6
14000	20.6	409	33.4	20.6
14000	20.6	409	33.4	20.6
14000	20.6	409	33.5	20.6
14000	20.6	409	33.5	20.6
14000	20.6	408	33.5	20.6
14000	20.6	408	33.5	20.6
14000	20.6	408	33.5	20.6
14000	20.6	408	33.5	20.6
14000	20.6	408	33.5	20.6
14000	20.6	408	33.5	20.6
14000	20.6	408	33.5	20.6
14000	20.6	408	33.5	20.7
14000	20.7	408	33.5	20.7
14000	20.7	407	33.5	20.7
14000	20.7	407	33.5	20.7
14000	20.7	407	33.6	20.7
14000	20.7	407	33.6	20.7
14000	20.7	407	33.6	20.7
14000	20.7	407	33.6	20.7
14000	20.7	407	33.6	20.7
14000	20.7	407	33.6	20.7
14000	20.7	406	33.6	20.7
14000	20.7	406	33.6	20.7
13900	20.7	406	33.6	20.7
13900	20.7	406	33.6	20.7
13900	20.7	406	33.6	20.7
13900	20.7	406	33.6	20.7
13900	20.7	406	33.6	20.7
13900	20.7	406	33.6	20.7
13900	20.7	405	33.7	20.7
13900	20.7	405	33.7	20.7
13900	20.7	405	33.7	20.7
13900	20.7	405	33.7	20.7
13900	20.7	405	33.7	20.8
13900	20.8	405	33.7	20.8
13900	20.8	405	33.7	20.8
13900	20.8	405	33.7	20.8
13900	20.8	404	33.7	20.8
13900	20.8	404	33.7	20.8
13900	20.8	404	33.7	20.8
13900	20.8	404	33.7	20.8
13900	20.8	404	33.7	20.8
13900	20.8	404	33.7	20.8
13900	20.8	404	33.8	20.8
13900	20.8	404	33.8	20.8
13900	20.8	403	33.8	20.8
13800	20.8	403	33.8	20.8
13800	20.8	403	33.8	20.8
13800	20.8	403	33.8	20.8
13800	20.8	403	33.8	20.8
13800	20.8	403	33.8	20.8
13800	20.8	403	33.8	20.8
13800	20.8	402	33.8	20.8
13800	20.8	402	33.8	20.8
13800	20.8	402	33.8	20.8
13800	20.8	402	33.8	20.8
13800	20.8	402	33.8	20.9
13800	20.9	402	33.9	20.9
13800	20.9	402	33.9	20.9
13800	20.9	401	33.9	20.9
13800	20.9	401	33.9	20.9
13800	20.9	401	33.9	20.9
13800	20.9	401	33.9	20.9
13800	20.9	401	33.9	20.9
13800	20.9	401	33.9	20.9
13800	20.9	401	33.9	20.9
13700	20.9	400	33.9	20.9
13700	20.9	400	33.9	20.9
13700	20.9	400	33.9	20.9
13700	20.9	400	33.9	20.9
13700	20.9	400	33.9	20.9
13700	20.9	400	34.0	20.9
13700	20.9	399	34.0	20.9
13700	20.9	399	34.0	20.9
13700	20.9	399	34.0	20.9
13700	20.9	399	34.0	20.9
13700	20.9	399	34.0	20.9
13700	20.9	399	34.0	20.9
13700	20.9	398	34.0	21.0
13700	21.0	398	34.0	21.0
13700	21.0	398	34.0	21.0
13700	21.0	398	34.0	21.0
13700	21.0	398	34.0	21.0
13700	21.0	398	34.0	21.0
13700	21.0	398	34.0	21.0
13600	21.0	397	34.1	21.0
13600	21.0	397	34.1	21.0
13600	21.0	397	34.1	21.0
13600	21.0	397	34.1	21.0
13600	21.0	397	34.1	21.0
13600	21.0	397	34.1	21.0
13600	21.0	396	34.1	21.0
13600	21.0	396	34.1	21.0
13600	21.0	396	34.1	21.0
13600	21.0	396	34.1	21.0
13600	21.0	396	34.1	21.0
13600	21.0	396	34.1	21.0
13600	21.0	395	34.1	21.0
13600	21.0	395	34.1	21.0
13600	21.0	395	34.2	21.0
13600	21.0	395	34.2	21.0
13600	21.0	395	34.2	21.1
13500	21.1	394	34.2	21.1
13500	21.1	394	34.2	21.1
13500	21.1	394	34.2	21.1
13500	21.1	394	34.2	21.1
13500	21.1	394	34.2	21.1
13500	21.1	394	34.2	21.1
